created_at,entry_id,temperature,humidity,moisture,field4
2020-09-11 01:10:29 WIB,4129,26.3,93.1,135,1856.84
2020-09-11 01:10:45 WIB,4130,26.3,93.1,138,1851.84
2020-09-11 01:11:01 WIB,4131,26.3,93.1,141,1848.95
2020-09-11 01:11:17 WIB,4132,26.3,93.1,109,1847.68
2020-09-11 01:11:33 WIB,4133,26.3,93.1,137,1849
2020-09-11 01:11:51 WIB,4134,26.3,93.1,137,1847.84
2020-09-11 01:12:07 WIB,4135,26.3,93,138,1845.53
2020-09-11 01:12:23 WIB,4136,26.3,93.1,130,1847.53
2020-09-11 01:12:39 WIB,4137,26.3,93.1,149,1844.68
2020-09-11 01:12:55 WIB,4138,26.3,93,132,1844.37
2020-09-11 01:13:12 WIB,4139,26.3,93.5,122,1842.63
2020-09-11 01:13:28 WIB,4140,26.3,93.1,126,1843.26
2020-09-11 01:13:44 WIB,4141,26.3,93.1,145,1844.63
2020-09-11 01:14:00 WIB,4142,26.3,93,143,1843.79
2020-09-11 01:14:17 WIB,4143,26.3,93.1,131,1843.47
2020-09-11 01:14:33 WIB,4144,26.2,93,125,1843
2020-09-11 01:14:49 WIB,4145,26.2,93,131,1842.95
2020-09-11 01:15:05 WIB,4146,26.2,93,134,1840.47
2020-09-11 01:15:21 WIB,4147,26.3,93,147,1842.37
2020-09-11 01:15:38 WIB,4148,26.2,93,151,1850.58
2020-09-11 01:16:36 WIB,4149,26.2,93,134,1856.74
2020-09-11 01:16:52 WIB,4150,26.2,93.6,127,1850.21
2020-09-11 01:17:09 WIB,4151,26.2,93.1,135,1847
2020-09-11 01:17:25 WIB,4152,26.2,93.1,160,1842.32
2020-09-11 01:17:41 WIB,4153,26.2,93.1,127,1841.42
2020-09-11 01:17:57 WIB,4154,26.2,93.1,135,1840.89
2020-09-11 01:18:14 WIB,4155,26.2,93.1,142,1837.58
2020-09-11 01:18:30 WIB,4156,26.2,93.1,130,1836.95
2020-09-11 01:18:47 WIB,4157,26.2,93.1,151,1837.47
2020-09-11 01:19:03 WIB,4158,26.2,93.1,128,1837.58
